No.,名称,住所,緯度,経度,フロア,設置場所,利用可能日時 - 日,利用可能日時 - 月,利用可能日時 - 火,利用可能日時 - 水,利用可能日時 - 木,利用可能日時 - 金,利用可能日時 - 土,利用可能日時 - 祝日,小児対応AED,備考,写真
81,ライブ1 1Fエスカレーター付近,,,,1F,エスカレーター付近,5:30〜22:00,5:30〜22:00,5:30〜22:00,5:30〜22:00,5:30〜22:00,5:30〜22:00,5:30〜22:00,5:30〜22:00,あり,,
82,金沢駅東広場B1Fもてなしドーム中央監視室,,,,B1F,中央監視室,5:30〜0:00,5:30〜0:00,5:30〜0:00,5:30〜0:00,5:30〜0:00,5:30〜0:00,5:30〜0:00,5:30〜0:00,なし,監視室内,
83,金沢駅1F改札内左,,,,1F,改札内左,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,あり,,
84,金沢駅1F新幹線改札口階段横,,,,1F,新幹線改札口階段横,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,あり,,
85,ABホテル3Fフロント,,,,3F,フロント,6:00〜24:00,6:00〜24:00,6:00〜24:00,6:00〜24:00,6:00〜24:00,6:00〜24:00,6:00〜24:00,6:00〜24:00,あり,スタッフいないと使えない,
86,アパホテル（金沢駅前）最上階レストラン,,,,最上階,レストラン,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,あり,,
87,アパホテル（金沢駅前）1Fフロント,,,,1F,フロント,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,あり,,
88,アパホテル（金沢駅前）大浴場,,,,,大浴場,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,あり,,
89,パークビル1Fインフォメーション,,,,1F,インフォメーション,7:30〜23:00,7:30〜23:00,7:30〜23:00,7:30〜23:00,7:30〜23:00,7:30〜23:00,7:30〜23:00,7:30〜23:00,不明,,
90,駅西広場管理棟,,,,,,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,0:00〜24:00,あり,,
